B_T,shared_flux_quanta,shared_phase_envelope,R1_R2_shared_phase_state,independent_channel_periods,independent_channel_loop_geometry,manual_period_fit
-0.0228,-22.0520618927406,0.986654302096179,1,0,0,0
-0.0227,-21.9553423230356,0.99017461592667,1,0,0,0
-0.0226,-21.8586227533306,0.902976349001244,1,0,0,0
-0.0225,-21.7619031836256,0.733048499313399,1,0,0,0
-0.0224,-21.6651836139206,0.495959647501963,1,0,0,0
-0.0223,-21.5684640442156,0.213431582636725,1,0,0,0
-0.0222,-21.4717444745106,0.0886508213863587,1,0,0,0
-0.0221,-21.3750249048056,0.382611146162322,1,0,0,0
-0.022,-21.2783053351006,0.641517108199717,1,0,0,0
-0.0219,-21.1815857653956,0.841648061616976,1,0,0,0
-0.0218,-21.0848661956906,0.964668254550436,1,0,0,0
-0.0217,-20.9881466259856,0.999306728193707,1,0,0,0
-0.0216,-20.8914270562806,0.942389948184339,1,0,0,0
-0.0215,-20.7947074865756,0.799132559919806,1,0,0,0
-0.0214,-20.6979879168706,0.582659629158343,1,0,0,0
-0.0213,-20.6012683471656,0.312804139633196,1,0,0,0
-0.0212,-20.5045487774606,0.0142899194703817,1,0,0,0
-0.0211,-20.4078292077556,0.285533525542896,1,0,0,0
-0.021,-20.3111096380506,0.559196740048505,1,0,0,0
-0.0209,-20.2143900683456,0.781627036839844,1,0,0,0
-0.0208,-20.1176704986406,0.932445625633394,1,0,0,0
-0.0207,-20.0209509289356,0.997834692775989,1,0,0,0
-0.0206,-19.9242313592306,0.971803372340852,1,0,0,0
-0.0205,-19.8275117895256,0.856736621897171,1,0,0,0
-0.0204,-19.7307922198206,0.663176715630271,1,0,0,0
-0.0203,-19.6340726501155,0.408857374143907,1,0,0,0
-0.0202,-19.5373530804105,0.117079022784615,1,0,0,0
-0.0201,-19.4406335107055,0.185425964677512,1,0,0,0
-0.02,-19.3439139410005,0.470942453262496,1,0,0,0
-0.0199,-19.2471943712955,0.713311773367824,1,0,0,0
-0.0198,-19.1504748015905,0.890328345911687,1,0,0,0
-0.0197,-19.0537552318855,0.985774130183746,1,0,0,0
-0.0196,-18.9570356621805,0.990904500792654,1,0,0,0
-0.0195,-18.8603160924755,0.905249419491718,1,0,0,0
-0.0194,-18.7635965227705,0.736656499505083,1,0,0,0
-0.0193,-18.6668769530655,0.500572016853834,1,0,0,0
-0.0192,-18.5701573833605,0.218625741540259,1,0,0,0
-0.0191,-18.4734378136555,0.0833507553829267,1,0,0,0
-0.019,-18.3767182439505,0.377690758589097,1,0,0,0
-0.0189,-18.2799986742455,0.637427198915838,1,0,0,0
-0.0188,-18.1832791045405,0.838763343081948,1,0,0,0
-0.0187,-18.0865595348355,0.963253021129281,1,0,0,0
-0.0186,-17.9898399651305,0.999490641832248,1,0,0,0
-0.0185,-17.8931203954255,0.944156158941158,1,0,0,0
-0.0184,-17.7964008257205,0.802319249737162,1,0,0,0
-0.0183,-17.6996812560155,0.586974837433646,1,0,0,0
-0.0182,-17.6029616863105,0.317852512290399,1,0,0,0
-0.0181,-17.5062421166055,0.0196089308142963,1,0,0,0
-0.018,-17.4095225469005,0.280431196791153,1,0,0,0
-0.0179,-17.3128029771955,0.554778562975149,1,0,0,0
-0.0178,-17.2160834074905,0.778297799395577,1,0,0,0
-0.0177,-17.1193638377855,0.930510348459111,1,0,0,0
-0.0176,-17.0226442680805,0.997470683586714,1,0,0,0
-0.0175,-16.9259246983755,0.973043981210904,1,0,0,0
-0.0174,-16.8292051286705,0.859468185767372,1,0,0,0
-0.0173,-16.7324855589655,0.667148971977666,1,0,0,0
-0.0172,-16.6357659892605,0.413706389726387,1,0,0,0
-0.0171,-16.5390464195555,0.122360536757036,1,0,0,0
-0.017,-16.4423268498505,0.180195838130965,1,0,0,0
-0.0169,-16.3456072801455,0.466242891904859,1,0,0,0
-0.0168,-16.2488877104405,0.709573345231919,1,0,0,0
-0.0167,-16.1521681407355,0.887893561186415,1,0,0,0
-0.0166,-16.0554485710304,0.984866060851747,1,0,0,0
-0.0165,-15.9587290013254,0.991606343049526,1,0,0,0
-0.0164,-15.8620094316204,0.907496871412901,1,0,0,0
-0.0163,-15.7652898619154,0.740243652309094,1,0,0,0
-0.0162,-15.6685702922104,0.505170220011679,1,0,0,0
-0.0161,-15.5718507225054,0.223813713332747,1,0,0,0
-0.016,-15.4751311528004,0.0780483305521158,1,0,0,0
-0.0159,-15.3784115830954,0.372759682362904,1,0,0,0
-0.0158,-15.2816920133904,0.633319250434673,1,0,0,0
-0.0157,-15.1849724436854,0.835854887534377,1,0,0,0
-0.0156,-15.0882528739804,0.961810527636221,1,0,0,0
-0.0155,-14.9915333042754,0.999646269873785,1,0,0,0
-0.0154,-14.8948137345704,0.945895650067494,1,0,0,0
-0.0153,-14.7980941648654,0.80548323391025,1,0,0,0
-0.0152,-14.7013745951604,0.591273434314096,1,0,0,0
-0.0151,-14.6046550254554,0.322891889717731,1,0,0,0
-0.015,-14.5079354557504,0.0249273872252294,1,0,0,0
-0.0149,-14.4112158860454,0.275320931833219,1,0,0,0
-0.0148,-14.3144963163404,0.550344685661883,1,0,0,0
-0.0147,-14.2177767466354,0.774946536114372,1,0,0,0
-0.0146,-14.1210571769304,0.928548737830948,1,0,0,0
-0.0145,-14.0243376072254,0.997078445965277,1,0,0,0
-0.0144,-13.9276180375204,0.974257052924761,1,0,0,0
-0.0143,-13.8308984678154,0.862175426677737,1,0,0,0
-0.0142,-13.7341788981104,0.671102348001255,1,0,0,0
-0.0141,-13.6374593284054,0.418543697413136,1,0,0,0
