pair_id,theta_i,theta_j,profile_objective,objective_delta
Tc_heterogeneity_amplitude__W_coverage_class,0.7125,1.16666666666667,0.0132316916715785,0.0131876373959519
Tc_heterogeneity_amplitude__W_coverage_class,0.7125,1.25,0.0110209695978936,0.010976915322267
Tc_heterogeneity_amplitude__W_coverage_class,0.7125,1.33333333333333,0.00950572626210661,0.00946167198647998
Tc_heterogeneity_amplitude__W_coverage_class,0.7125,1.41666666666667,0.00868598511956506,0.00864193084393843
Tc_heterogeneity_amplitude__W_coverage_class,0.7125,1.5,0.0085623565739701,0.00851830229834346
Tc_heterogeneity_amplitude__W_coverage_class,0.7125,1.58333333333333,0.00913896960511023,0.00909491532948359
Tc_heterogeneity_amplitude__W_coverage_class,0.7125,1.66666666666667,0.0103976919062072,0.0103536376305805
Tc_heterogeneity_amplitude__W_coverage_class,0.7125,1.75,0.0122562002737546,0.0122121459981279
Tc_heterogeneity_amplitude__W_coverage_class,0.7125,1.83333333333333,0.0147144184943618,0.0146703642187351
Tc_heterogeneity_amplitude__W_coverage_class,0.7125,1.91666666666667,0.0177724112908861,0.0177283570152594
Tc_heterogeneity_amplitude__W_coverage_class,0.7125,2,0.0214686638046331,0.0214246095290064
Tc_heterogeneity_amplitude__W_coverage_class,0.772916666666667,0,0.118051719945789,0.118007665670162
Tc_heterogeneity_amplitude__W_coverage_class,0.772916666666667,0.0833333333333333,0.100438914153633,0.100394859878007
Tc_heterogeneity_amplitude__W_coverage_class,0.772916666666667,0.166666666666667,0.0847583929233471,0.0847143386477204
Tc_heterogeneity_amplitude__W_coverage_class,0.772916666666667,0.25,0.0710101562549305,0.0709661019793039
Tc_heterogeneity_amplitude__W_coverage_class,0.772916666666667,0.333333333333333,0.059194204148384,0.0591501498727573
Tc_heterogeneity_amplitude__W_coverage_class,0.772916666666667,0.416666666666667,0.0493105366037067,0.04926648232808
Tc_heterogeneity_amplitude__W_coverage_class,0.772916666666667,0.5,0.0413603893450671,0.0413163350694404
Tc_heterogeneity_amplitude__W_coverage_class,0.772916666666667,0.583333333333333,0.0346191463918377,0.0345750921162111
Tc_heterogeneity_amplitude__W_coverage_class,0.772916666666667,0.666666666666667,0.0285733683826382,0.0285293141070116
Tc_heterogeneity_amplitude__W_coverage_class,0.772916666666667,0.75,0.0232230553174679,0.0231790010418413
Tc_heterogeneity_amplitude__W_coverage_class,0.772916666666667,0.833333333333333,0.018568207196327,0.0185241529207004
Tc_heterogeneity_amplitude__W_coverage_class,0.772916666666667,0.916666666666667,0.0146088240192156,0.014564769743589
Tc_heterogeneity_amplitude__W_coverage_class,0.772916666666667,1,0.0113449057861335,0.0113008515105069
Tc_heterogeneity_amplitude__W_coverage_class,0.772916666666667,1.08333333333333,0.00877645249708081,0.00873239822145418
Tc_heterogeneity_amplitude__W_coverage_class,0.772916666666667,1.16666666666667,0.00690346415205751,0.00685940987643087
Tc_heterogeneity_amplitude__W_coverage_class,0.772916666666667,1.25,0.00572606780786116,0.00568201353223453
Tc_heterogeneity_amplitude__W_coverage_class,0.772916666666667,1.33333333333333,0.00524417256921242,0.00520011829358578
