field_T,current_uA,dVdI_full_ohm,dVdI_covered_ohm,dVdI_boundary_ohm,dVdI_uncovered_ohm
-1.475,0.44999998807907104,10.28050317358543,11.132528714887016,10.063724478032228,9.401950877724431
-1.475,0.4749999940395355,10.284069075253697,11.132938954294204,10.064598415397924,9.413430491191036
-1.475,0.5,10.288781036385757,11.135494309893247,10.06749661086458,9.423516154866775
-1.475,0.5249999761581421,10.29484440964923,11.14011301164436,10.072360943850143,9.43315798353619
-1.475,0.550000011920929,10.302559298855414,11.14689487239238,10.07934872032483,9.443120950938095
-1.475,0.574999988079071,10.312263687032825,11.156057154832382,10.088690343281016,9.454051911717414
-1.475,0.6000000238418579,10.324323099643152,11.167886722006415,10.100671824817937,9.46653020580122
-1.475,0.625,10.339182191654189,11.182773256212073,10.115712695636432,9.481109320098483
-1.475,0.6499999761581421,10.357301332911646,11.201161958866692,10.134248615611966,9.498303357446844
-1.475,0.675000011920929,10.379256771128013,11.22362212082973,10.156841649351776,9.518717009831036
-1.475,0.699999988079071,10.405660165830852,11.250732097271111,10.184127555713104,9.54297544364374
-1.475,0.7250000238418579,10.43720453952929,11.283210791197178,10.216809749515335,9.571722359114062
-1.475,0.75,10.474667025207026,11.321861418839177,10.255685200595849,9.605672696377809
-1.475,0.7749999761581421,10.518859569890196,11.367504628516372,10.301580218273045,9.64560732874395
-1.475,0.800000011920929,10.570743558681954,11.42113267235382,10.355496316753687,9.69239183659161
-1.475,0.824999988079071,10.631323481910954,11.483772676681468,10.41848207026976,9.746940912006437
-1.475,0.8500000238418579,10.70172647244857,11.556610000381767,10.49169086650943,9.810266890236761
-1.475,0.875,10.783171887090049,11.640878074190681,10.576412560269432,9.883475844231327
-1.475,0.8999999761581421,10.876945597751472,11.737917366788906,10.673957890664838,9.967745671852782
-1.475,0.925000011920929,10.984513686832372,11.849241320354906,10.78586122202077,10.064386512494877
-1.475,0.949999988079071,11.107377300878852,11.976395877939325,10.913708556955697,10.174724983471123
-1.475,0.9750000238418579,11.247198761774342,12.121122801405335,11.059191641623642,10.300275312110386
-1.475,1.0,11.405738840525402,12.2852109206882,11.22415985208562,10.442641678222117
-1.475,1.024999976158142,11.584835866716134,12.470568391416862,11.410529136634977,10.603463232234446
-1.475,1.0499999523162842,11.786461003823973,12.679259194347452,11.620334035571943,10.784499441146409
-1.475,1.0750000476837158,12.012763623546931,12.913496357598092,11.855825737264269,10.987676688223985
-1.475,1.100000023841858,12.265932925754754,13.175516985966993,12.119286528098172,11.214994410487606
-1.475,1.125,12.548209018292084,13.467644689034387,12.413031996409217,11.468477646822436
-1.475,1.149999976158142,12.862039988546229,13.792435504380421,12.739607981027035,11.750296217613709
-1.475,1.1749999523162842,13.209862338825019,14.152395407450285,13.101569853551382,12.06263292885157
-1.475,1.2000000476837158,13.594279562808765,14.550187833060477,13.501619254640843,12.407878270021342
-1.475,1.225000023841858,14.017915468775527,14.988546664999717,13.94246816720397,12.788387639008164
-1.475,1.25,14.483382659070628,15.470156401201791,14.426873465411802,13.206482752139749
-1.475,1.274999976158142,14.99335885153073,15.99776330737825,14.9576061941724,13.664622955180363
-1.475,1.2999999523162842,15.550499340030342,16.574162922806465,15.53738932287115,14.165181119845442
-1.475,1.3250000476837158,16.157554396709656,17.20212591990827,16.169150325681244,14.710643292957002
-1.475,1.350000023841858,16.81709975651495,17.884279375744995,16.855549505930583,15.30340209390505
-1.475,1.375,17.531573375947232,18.623191377020305,17.59912352464977,15.945585546576979
-1.475,1.399999976158142,18.303375314853895,19.42130642393363,18.402352494617958,16.639426073836944
-1.475,1.4249999523162842,19.134701601081076,20.28083186219368,19.26754166010693,17.386958571966602
-1.475,1.4500000476837158,20.027690570541893,21.203980308118958,20.196917607571947,18.19010191782212
-1.475,1.475000023841858,20.9840478364585,22.19248570600746,21.192238111027336,19.0504533528366
-1.475,1.5,22.005185962016014,23.24773788770466,22.25503597955742,19.96929626268394
-1.475,1.524999976158142,23.092284159488486,24.370939336024264,23.38646893121239,20.947806629344427
-1.475,1.5499999523162842,24.24594769321976,25.562631280568553,24.587212091076253,21.986584320821805
-1.475,1.5750000476837158,25.466649482381,26.823254830586393,25.857773609184903,23.0860988731759
-1.475,1.600000023841858,26.754196088684523,28.152563363712318,27.19790792896083,24.246299221056177
-1.475,1.625,28.107732559277622,29.549579821814575,28.606784777719383,25.466464834174815
-1.475,1.649999976158142,29.526051165756826,31.012995709245843,30.083098449190402,26.745656709730383
-1.475,1.6749999523162842,31.00714027751451,32.540593548426045,31.62481210230675,28.082178917653778
-1.475,1.7000000476837158,32.54866795634439,34.12985444249006,33.2295253629315,29.474046970251152
-1.475,1.725000023841858,34.14748289854384,35.77750022980405,34.893895725782954,30.918538341609064
-1.475,1.75,35.7996046271694,37.47927501069012,36.61378367936305,32.41226203201222
-1.475,1.774999976158142,37.5006382885378,39.23042062167724,38.38470342932743,33.951442310960886
-1.475,1.7999999523162842,39.245364434985845,41.02549106660888,40.201220555234386,35.5314568165042
-1.475,1.8250000476837158,41.02826535547706,42.85866106392609,42.05751908001719,37.14760701117848
-1.475,1.850000023841858,42.84297468676857,44.72311788557636,43.94706236947491,38.79436524479422
-1.475,1.875,44.68250824903021,46.61158197976533,45.8625850937151,40.46552697325785
-1.475,1.899999976158142,46.53965438625562,48.51640903611212,47.7965683042695,42.15488316058202
-1.475,1.9249999523162842,48.40654972245636,50.42926208001495,49.74083973104712,43.855631295088415
-1.475,1.9500000476837158,50.27549446653393,52.34214898559162,51.687342241439296,45.56094864795136
-1.475,1.975000023841858,52.13819458923331,54.2462316901009,53.627583140584534,47.263551604761346
-1.475,2.0,53.98596121591504,56.13238890495654,55.55249581755879,48.9558475065179
-1.475,2.0250000953674316,55.811062438279805,57.99256926717851,57.453917308872406,50.63111695640657
-1.475,2.049999952316284,57.60471734200087,59.81736832183026,59.322928795233565,52.28161739496181
-1.475,2.075000047683716,59.35913335926273,61.59876653325057,61.15118921276485,53.900598612461636
-1.475,2.0999999046325684,61.066612321916864,63.3286322088868,62.930814053314975,55.48120498309447
-1.475,2.125,62.71958492106353,64.9989441396142,64.65403550584608,57.016751138155655
-1.475,2.1500000953674316,64.31216366451383,66.60358105394198,66.31453113078635,58.50224987952629
-1.475,2.174999952316284,65.83727600966438,68.13515698603612,67.90500998167033,59.931349375665036
-1.475,2.200000047683716,67.28978677747193,69.58826509349274,69.42015082600778,61.29953479820995
-1.475,2.2249999046325684,68.66487631473854,70.95782161943885,70.85501874278157,62.60250210424033
-1.475,2.25,69.95828242561049,72.2394572728765,72.20502507168419,63.83657114385119
-1.475,2.2750000953674316,71.16780424689796,73.43086327105925,73.46792101651045,64.9997528543048
-1.475,2.299999952316284,72.28993344183868,74.52840818256914,74.64012229669947,66.08880884250334
-1.475,2.325000047683716,73.32358427482018,75.53092173989035,75.72044053135232,67.10290607323714
-1.475,2.3499999046325684,74.26790827009654,76.4376369741201,76.70792957049207,68.04121460850047
-1.475,2.375,75.12243991063792,77.24822671430411,77.60206655197385,68.90315580605466
-1.475,2.4000000953674316,75.88911909468834,77.96454634551037,78.40509277871502,69.69038350559981
-1.475,2.424999952316284,76.56815319758925,78.58706284090249,79.11697090902885,70.403075626685
-1.475,2.450000047683716,77.16187254228589,79.11848389621696,79.7400631707369,71.04300281192764
-1.475,2.4749999046325684,77.67273521956872,79.5611379894292,80.27719248894095,71.61231432393038
-1.475,2.5,78.10336208945569,79.9180382268355,80.73084826744889,72.1132687749814
-1.475,2.5250000953674316,78.45830938243125,80.19415675339224,81.1057832925776,72.54959036425203
-1.475,2.549999952316284,78.74013399667547,80.3923521376687,81.4045861172392,72.92338038345088
-1.475,2.575000047683716,78.95314614318409,80.51717022619255,81.63186213247627,73.23823256222795
-1.475,2.5999999046325684,79.10147592984276,80.5730786593781,81.79196365813277,73.49751818127811
-1.475,2.625,79.18907752531209,80.56447731004505,81.88873065025246,73.70473291297822
-1.475,2.6500000953674316,79.22139625386876,80.49731050846026,81.92786114484147,73.86430130961185
-1.475,2.674999952316284,79.20155966256175,80.37508911200325,81.91257267012793,73.97870566620304
-1.475,2.700000047683716,79.1341611234991,80.20257434722657,81.84781142051793,74.05183890236708
-1.475,2.7249999046325684,79.02353723108718,79.9847522357436,81.73784081254303,74.0872452272099
-1.475,2.75,78.87343115803742,79.72578314895941,81.58669315944871,74.0877105760037
-1.475,2.7750000953674316,78.68857483589136,79.4306439746897,81.39937952351215,74.05725902515474
-1.475,2.799999952316284,78.47165275264001,79.10261024120496,81.17828780663967,73.99816056668192
-1.475,2.825000047683716,78.22678060429371,78.7460345552895,80.92795131132698,73.9136494324398
-1.475,2.8499999046325684,77.95698604606241,78.36448661287068,80.65151276942606,73.80585704557984
-1.475,2.875,77.66499011215387,77.96097452953518,80.35171320488007,73.67708437951478
-1.475,2.9000000953674316,77.35487701420766,77.5398703422552,80.03283910696655,73.53075151505641
-1.475,2.924999952316284,77.02808786806486,77.10317566192543,79.69642445173986,73.36740766861658
-1.475,2.950000047683716,76.68724023902087,76.65360771470341,79.34511934291186,73.1894904486378
-1.475,2.9749999046325684,76.33451307230916,76.19397577486825,78.9810335488869,72.99840725188369
-1.475,3.0,75.97160097430879,75.72595894299275,78.60617215721413,72.7954599585355
-1.475,3.0250000953674316,75.60124346536577,75.25269340235809,78.22318365886758,72.58296588629878
-1.475,3.049999952316284,75.22397070252237,74.77512638094231,77.83273183974097,72.3607054787658
-1.475,3.075000047683716,74.84140711522514,74.29486266552703,77.4366882172103,72.13000063253503
-1.475,3.0999999046325684,74.45462298390248,73.81320750051646,77.03580458339275,71.89202429144734
-1.475,3.125,74.06465369997568,73.33160503999852,76.63133927496074,71.64695443033679
-1.475,3.1500000953674316,73.67324469282858,72.85202980769554,76.22512184101379,71.39611037487339
-1.475,3.174999952316284,73.27987251128025,72.3739307364458,75.81647118910814,71.13921670635773
-1.475,3.200000047683716,72.88601369984144,71.89866019932333,75.40733070548049,70.87729767451356
